ID	taskID	catalogNumber	country	eventDate	eventID	fieldNotes	fieldNumber	locationID	relatedResourceID	scientificName	stateProvince	transcriberNotes	validatorNotes	verbatimElevation	verbatimLatitude	verbatimLocality	verbatimLocalityID	verbatimLongitude	collector1	collector2	collector3	collector4
157	2648954	1193659	Panama	1923-06-01/1923-06-03		1180244	6733			Passiflora vitifolia	Panama					"Near Tapla River, Juan Diaz region."			"Maxon, William R."			
158	2648964	1193660	Panama	1/3/1924		1225438	29362			Passiflora vitifolia	Panama					Rio Tecumen			"Standley, Paul C."			
159	2648974	1193661	Panama	12/18/1923		1225437	28702			Passiflora vitifolia	Colon					"Near Fort Randolph, Canal Zone"			"Standley, Paul C."			
160	2648984	1193662	Panama	1/11/1924		1225450	30605			Passiflora vitifolia	Panama					"Juan Diaz, Province of Panama"			"Standley, Paul C."			
161	2648994	1193663	Panama	2/13/1923		1166074	5519			Passiflora vitifolia						"Empire to Mandinga, Canal Zone."			"Piper, C. V."			
162	2649004	1193664	Panama	6/19/1931		1519413	221			Passiflora vitifolia	Panamá					Barro Colorado Island			"Bailey, L. H."	"Bailey, Ethel Zoe"		
163	2649014	1193665	Panama	1923-06-01/1923-06-03		1180239	6678			Passiflora vitifolia	Panama					"Near Tapia River, Juan Diaz region"			"Maxon, William R."			
164	2649024	1193666	Panama	2/6/1911		676805	2668			Passiflora vitifolia	Panama			20 to 100 meters		"Valley of Masambi, on the road to Las Cascadas Plantation, Canal Zone."			"Pittier, H."			
165	2649034	1193667	Panama	1/4/1924		1225440	29569			Passiflora vitifolia	Panama					"La Cascadas Plantation, near Summit, Canal Zone."			"Standley, Paul C."			
166	2649044	1193668	Panama	1/24/1924		1225460	31280			Passiflora vitifolia	Panama	Checked date on high res. image.				"Barro Colorado Island, Gatun Lake, Canal Zone"			"Standley, Paul C."			
167	2649054	1193669	Panama	1/15/1924		1225453	30947			Passiflora vitifolia	Colon					"Vicinity of Fort Sherman, Canal Zone"			"Standley, Paul C."			
168	2649064	1193670	Panama	1933-04		1589475	292			Passiflora vitifolia	Panama					Pacora			"Paul, Bro."			
169	2649074	1193671	Panama	3/6/1923		1166791	5835			Passiflora vitifolia	Colon					"Rio Agua Salud, near Frijoles, Canal Zone"			"Piper, C. V."			
170	2649084	1193672	Panama	1923-06-01/1923-06-03		1180238	6683			Passiflora vitifolia	Panama					"Near Tapla River, Juan Diaz Region"			"Maxon, William R."	"Harvey, Alfred D."		
171	2649094	1193673	Panama	3/9/1924		1405719	526			Passiflora vitifolia	Bocas del Toro					"Bar Mouth, Changuinola Valley"			"Dunlap, V. C."			
172	2649104	1193674	Costa Rica	2/20/1989		3354317	835			Passiflora vitifolia	Alajuela					"North slope of Arenal Volcano, along Rio Guillermina"			"Russell, G. F."			
173	2649114	1193675	Costa Rica	12/24/1992		3261980	92-02217			Passiflora vitifolia	Puntarenas					"Canton Osa, Osa Peninsula, Drive 2 km south of Rincon on the road towards Puerto Jimenez, turn northeast on road to Charcos, drive 3.4 km taking the second left hand turn, drive 9 km, before Rancho Quemado."			"Grant, J. R."	"Rundell, J. R."		
174	2649124	1193676	Panama	12/19/1940		1920210	1855			Passiflora vitifolia	Bocas del Toro					"Provincia de Bocas Del Toro\nWater Valley, Vicinity of Chiriqui Lagoon"			"von Wedel, H."			
175	2649134	1193677	Costa Rica	1924-03-12/1924-03-13		1227809	37186			Passiflora vitifolia	Limón			300 - 500 m.		Vicinity of Guapiles			"Standley, Paul C."			
176	2649144	1193678	Nicaragua	1961-03-24/1961-03-25		2542983	851			Passiflora vitifolia	Rio San Juan			0-50 m.		In forest along Rio San Juan between San Juan del Norte (Greytown) and Delta de San Juan.			"Bunting, George S."	"Licht, L."		
177	2649154	1193679	Costa Rica	1924-03-06/1924-03-07		1227713	36958			Passiflora vitifolia	Limon			about 70 meters		"La Colombiana Farm of the United Fruit Co., Province of Limon"			"Standley, Paul C."			
178	2649164	1193680	Panama	11/9/1940		1863025	1568			Passiflora vitifolia	Bocas del Toro					"Water Valley, vicinity of Chiriqui Lagoon"			"von Wedel, H."			
179	2649174	1193681	Panama	4/3/1939		1945362	L15			Passiflora vitifolia			"Caladonia and Mt Vernon, not identified."			"Caladonia Harbor, Mt. Vernon"			"Elmore, Francis H."			
180	2649184	1193682	Costa Rica	1925		1266829	s.n.			Passiflora vitifolia			General web search found one small community called La Florida near Santiago de Puriscal in San Jose. Confirmation not firm enough to add State.			La Florida			"Lankester, C. H."			
181	2649194	1193683	Costa Rica	1894-04		943545	4810			Passiflora vitifolia	Limón			650 ft.		"Jiménez, Lianos de Santa Clara, Comarca de Limón"			"Smith, John Donnell"			
182	2649204	1193684	Costa Rica	1924-03-12/1924-03-13		1227877	37314			Passiflora vitifolia	Limón			300 - 500 meters		Vicinity of Guapiles			"Standley, Paul C."			
183	2649214	1193685	Costa Rica	1926-01-18/1926-01-19		1251981	45038			Passiflora vitifolia	Guanacaste			485-600 meters		"El Arenal, Provincia de Guanacaste"			"Standley, Paul C."	"Valerio, Juvenal"		
184	2649224	1193686	Costa Rica	3/1/1924		1405468	474			Passiflora vitifolia	Limon					"La Palma, Sixaola"			"Dunlap, V. C."			
185	2649234	1193687	Costa Rica	1897-02		943540	11182			Passiflora vitifolia	Puntarenas			1100 m.		Canas Gordas			"Pittier, H."			
186	2649244	1193688	Costa Rica	1894-03		943543	8655			Passiflora vitifolia	Limón					Talamanca			"Tonduz, A."			
187	2649254	1193689	Costa Rica	1895-02		943542	9324			Passiflora vitifolia	Limón			100 m.		"Forets de Shirores, Talamanca"			"Tonduz, A. V."			
188	2649264	1193690	Costa Rica	1899-04		943544	13003			Passiflora vitifolia	Cartago			635 m.		"Broussailles a Las Vueltas, Tucurrique"			"Tonduz, Adolfo"			
189	2649274	1193691	Costa Rica	1896-03		943538	10062			Passiflora vitifolia	Puntarenas					S. Domingo de Golfo Dulce [Golfo Dulce]			Tonduz			
190	2649284	1193692	Costa Rica	1/25/1926		1252083	45874			Passiflora vitifolia	Guanacaste			600-700 m.		"La Tejona, North of Tilarán,"			"Standley, Paul C."	"Valerio, Juvenal"		
191	2649294	1193693	Costa Rica	1926-02-07/1926-02-08		1251982	47172			Passiflora vitifolia	Cartago			ca. 900 m.		Vicinity of Pejivalle			"Standley, Paul C."	"Valerio, Juvenal"		
192	2649304	1193694	Costa Rica	1896-03		943539	10062			Passiflora vitifolia	Puntarenas	Additional collector number on label: 7030				Forets de Santo Domingo de Golfo Dulce.			"Tonduz, A. V."			
193	2649314	1193695	Panama	2/14/1975		2788296	4620			Passiflora vitifolia	Panama	Province info from label. Difficult to verify province in GeoNames.		350 m.		"El Llano-Carti Road, 17.5 km from Inter-American Hwy."			"Mori, S."	"Kallunki, J."	"Gentry, A."	
194	2649324	1193696	Panama	2/18/1973		2745278	21929			Passiflora vitifolia	Chiriquí			ca. 50 m.		1.6 m west of Puerto Armuelles; disturbed are along roadside and stream			"Croat, Thomas B."			
195	2649334	1193697	Panama	8/4/1960		2560695	759			Passiflora vitifolia	Chiriquí					"Boquete: second growth forest, 6 mi. N. of Concepcion."			"Ebinger, John E."			
196	2649344	1193698	Panama	1966-12-07/1966-12-08		2572632	170			Passiflora vitifolia	Kuna Yala					"San Blas [Kuna Yala]: mainland opposite Ailigandi, from mouth of Ailigandi River to 2.5 miles inland."			"Lewis, W. H."	"Dwyer, J. D."	"Elias, T. S."	"Solis, R."
197	2649354	1193699	Costa Rica	3/6/1966		2542588	18313			Passiflora vitifolia	San Jose			730 m.		"3 km. East of San Isidro, El General Valley, province of San Jose."			"Molina, Antonio R."	"Burger, William. C."	"Wallenta, Bruce"	
198	2649364	1193700	Costa Rica	4/11/1949		1976916	5256			Passiflora vitifolia	Puntarenas			sea level		"Canton De Osa, Vicinity of Palmar Norte, Rio Terraba"			"Allen, Paul H."	"Allen, Dorothy"		
199	2649374	1193701	Panama	7/9/1941		1892666	2502			Passiflora vitifolia	Bocas Del Toro					"Vicinity of Chiriqui Lagoon, Little Bocas"			"von Wedel, H."			
200	2649384	1193702	Costa Rica	2/18/1930		1726561	6188			Passiflora vitifolia	Guanacaste			400-600 m.		Guanacaste Province: Hacienda Quebrada Azul on lower slopes of Volcan Tenorio			"Dodge, C. W."	"Thomas, W. S."		
201	2649394	1193703	Costa Rica	1936-02		1642518	2617			Passiflora vitifolia	San José		El General aka General Viejo	915 m.		Vicinity of El General			"Skutch, Alexander F."			
202	2649404	1193704	Costa Rica	2/21/1939		1808278	H1604			Passiflora vitifolia	Alajuela					Villa Quesada			"Smith, Austin"			
203	2649414	1193705	Costa Rica	1894-03		941607	4811			Passiflora vitifolia	Cartago			2000 ft.		Atirro			"Smith, John Donnell"			
204	2649424	1193706	Costa Rica	1899-03		354373	13003			Passiflora vitifolia	Cartago			635 m.		Tucurrique			"Tonduz, A. V."			
205	2649434	1193707	Costa Rica	1894-03		248786	4811			Passiflora vitifolia	Cartago			2000 ft.		Atirro			"Smith, John Donnell"			
206	2649444	1193708	Nicaragua	1924		1206309	s.n.			Passiflora vitifolia	Atlántico Sur					Mosquito Coast			"Schramm, F. E."			
207	2649454	1193709	Nicaragua			1496375	139			Passiflora vitifolia	Atlántico	No date				Region of Braggman's [Bragman's] Bluff\n[Bilwi]			"Englesing, F. C."			
208	2649464	1193710	Panama	1923-12-07/1924-01-11		1225434	28101			Passiflora vitifolia	Panama					"Moist forest: Rio Tapla, Province of Panama"			"Standley, Paul C."			
209	2649474	1193711	Panama	12/17/1923		1225430	27308			Passiflora vitifolia	Colon					"Near Gatun, Canal Zone"			"Standley, Paul C."			
210	2649484	1193712	Panama	1/13/1918		1080253	3335			Passiflora vitifolia	Panama		"2 x USNMs on this image\n1080253 recorded in dbase fields.\n\n1080252 Panama, \nE.P. Killip No. 3313"	0 - 75 m.		Orange River valley East of Juan Diaz			"Killip, Ellsworth P."			
211	2649494	1193713	Panama	2/3/1921		1081628	114			Passiflora vitifolia			? label states Panama but\n\nTalamanca Valley is in Costa Rica			Talamanca Valley			"Carleton, M. A."			
212	2649504	1193714	Panama	1/21/1913		676700	2517			Passiflora vitifolia	Panama					"Along canal about Las Cascadas, Canal Zone."			"Gaillard, D. D."			
213	2649514	1193715	Nicaragua	5/1/1923		1113131	s.n.			Passiflora vitifolia	Atlantico Norte					Cabo Gracias a Dios			"Schramm, F. E."			
214	2649524	1193716	Panama	1850-03		42877	118			Passiflora vitifolia	Colon	Confirmed collector name on high res. image.				"Chagres, Isthmus of Panama"			"Fendler, A."			
215	2649534	1193717	Costa Rica	1926-01-18/1926-01-19		1253957	45158			Passiflora vitifolia	Guanacaste			485-600 m.		"El Arenal, Provincia de Guanacaste"			"Standley, Paul C."	"Valerio, Juvenal"		
216	2649544	1193718	Costa Rica	1926-02-18/1926-02-19		1252088	48549			Passiflora vitifolia	Limon			25 m.		"Finca Montecristo on the Rio Reventazon below Cairo, Provincia de Limon."			"Standley, Paul C."	"Valerio, Juvenal"		
217	2649554	1193719	Costa Rica	1/29/1926		1252085	46497			Passiflora vitifolia	Guanacaste			600 - 700 m.		Naranjos Agrios			"Standley, Paul C."	"Valerio, Juvenal"		
218	2649564	1193720	Costa Rica	1891-01		471595	3517			Passiflora vitifolia			no location details	660 m.					"Pittier, H."			
219	2649574	1193721	Panama	4/21/1997		3495600	485			Passiflora williamsii	Veraguas				"7°16'20"" N"	"Distrito de Montijo, Cerro Hoya, subiendo por Cobachon."		80°39'15' W	"Deago, J."	"Carrasquilla, L."	"Cedeno, L."	
220	2649584	1193722	Panama	1933-04		1589483	308			Passiflora williamsii	Panama					"Sabanas, Prov. Panama"			"Paul, Bro."			
221	2649594	1193723	Panama	4/14/1939		2366566	4352			Passiflora williamsii	Panama					"Barro Colorado Island, Canal Zone"			Zetek			
222	2649604	1193724	Panama	2/23/1923		1167606	5481			Passiflora williamsii	Panama					"Empire to Mandinga, Canal Zone"			"Piper, C. V."			
223	2649614	1193725	Honduras	4/26/1989		3620578	170			Indet. sp.	Intibucá			2000 m.		"Cerro San Cristobal, 2 km al S. de la Esperanza."			"Pena, Carlos E."			
224	2649624	1193726	Panama	3/3/1995		3498411	868			Indet. sp.	Colon					Fort Davis			"Rivera, N."	"Morris, M. E."	"Gough, A."	"Alvarez, V."
225	2649634	1193727	Costa Rica	4/8/1991		3364010	10839			Indet. sp.	Alajuela			600 m.		"Alajuela Province, Arenal Volcano\nForest trail SW of volcano, E of road along laguna and N of Rio Agua Caliente to devatstated zone at ca."			"Smith, F. O."	"Umana, G."	"Spencer, M."	
226	2649644	1193728	Cuba			None on sheet	2604			Passiflora berteriana		"no USNM #, no state/province/no date"	No USNM \n\n? method for cataloging this specimen.			Ex Herb. Geneva. [Origin] Cuba\nPhotographed by E.P. Killip			Wright			
227	2649654	1193729	Cuba	1912-03-06/1912-03-08		698477	12505			Passiflora cubensis	Holguin					Province of Oriente: Antilla			"Britton, N. L."	"Britton, E. G."	"Cowell, J. F."	
228	2649664	1193730	Cuba	7/15/1936		1558994	3145			Passiflora cubensis	Villa Clara					Province Santa Clara: Palm barrens about 6 km. west of Santa Clara			"Smith, L. B."	"Hodgdon, A. R."	"Cheadle, V. I."	"Taylor, F. H."
229	2649674	1193731	Cuba	8/7/1919		2286679	8866			Passiflora cubensis	Matanzas					Serpentine barrens: San Miguel de los Banos.			"Leon, Bro."			
230	2649684	1193732	Cuba	10/29/1914		1442778	3256			Passiflora cubensis	Holguín		"""Prov. East, near the foot of the mountain to Holguín.""\nProvince aka Santiago de Cuba in 1914 the entire east end of Cuba was one province, Holguín is the correct province today."			Prov. Oriente; prope Holguín ad pedem  mont.			"Ekman, E. L."			
231	2649694	1193733	Cuba	2/20/1930		1478261	7712			Passiflora cubensis	Cienfuegos					"Castillo de Jagua\nCastillo, Cienfuegos Bay, Province of Santa Clara."			"Jack, J. G."			
232	2649704	1193734	Cuba	8/7/1919		1046722	8866			Passiflora cubensis	Matanzas					"Serpentine hill; Labana del Jacan, San Miguel de los Banos"			"Leon, Bro."	"Roca, M."		
233	2649714	1193735	Cuba	1931-12-17/1931-12-18		1478669	13855			Passiflora cubensis	Matanzas	? Date. Unable to access hi res. image.  Problem with barcode.	verified date with hi res image (now available)\n			San Miguel de los Banos (serpentine)			"Killip, E. P."			
234	2649724	1193736	Cuba	1909-10-08/1909-10-09		697260	2451			Passiflora cubensis	Camuguey					"Vicinity of Pueblo Romano, Cayo Romano,  Camuguey."			"Shafer, J. A."			
235	2649734	1193737	Cuba	1957-05-19/1957-05-20		2228961	2908			Passiflora cupraea	Las Tunas					"Province of Oriente: Manigua costera en El Socucho, playa de Puerto Padre\n\n"			"Lopez, L. F."			
236	2649744	1193738	Bahamas	6/6/1978		2909416	843			Passiflora cupraea	San Salvador					"San Salvador Island: Near pond, two miles NE of Cockburn Town."			"Keller, Sue"			
237	2649754	1193739	Cuba	3/19/1931		1478775	15148			Passiflora cupraea	Guantánamo					"Cape Maisi, Oriente"			"Bailey, L. H."			
238	2649764	1193740	Haiti	5/24/1925		1304808	H4124			Passiflora cupraea	Nord-Ouest	Confirmed Ile de la Tortue				"Ile la Tortue, Mare-Rocher, on the coral reef."			"Ekman, E. L."			
239	2649774	1193741	Cuba	1/10/1915		1442779	4167			Passiflora cupraea	Guantanamo		Plantae Itineris Regnelliani III No. 4167			Cuba: Prov Oriente: Baracoa			"Ekman, E. L."			
240	2649784	1193742	Cuba	1902-01-24/1902-01-29		403075	93			Passiflora cupraea	Guantánamo	Baracoa is not located in Santiago Province (GeoNames). Could not determine State/Territory due to more than one Baracoa.\nDate from high res. image	"Historical -Santiago Province became Las Tunas, Granma, Holguín, Santiago de Cuba and Guantánamo"			"Vicinity of Baracoa, Santiago Province."			"Pollard, Charles L."	"Palmer, Edward"	"Palmer, William"	
241	2649794	1193743	Bahamas	1910-01-10/1910-01-19		757903	8449			Passiflora cupraea	Mangrove Cay					"Coppice, near Lisbon Creek, Mangrove Cay, Andros"			"Small, J. K."	"Carter, J. J."		
242	2649804	1193744	Bahamas	2/19/1976		2797422	46847			Passiflora cupraea	San Salvador					"San Salvador: vine on shrubs, Sandy Point."			"Correll, D. S."	"Wasshausen, D. C."		
243	2649814	1193745	Cuba	10/10/1949		2286609	7070			Passiflora cupraea			Unable to determine state/territory			"Camino de la Estrella, abajo del Morro"			"Clemente, Hno."			
244	2649824	1193746	Bahamas	1888-02-18		1336730	4050			Passiflora cupraea	Exuma					Hog Island			"Eggers, H. F. A."			
245	2649834	1193747	Cuba	1/16/1956		2285274	9191			Passiflora cupraea	Guantánamo			400 m.		Coastal limestone bluff south of Montecristo			"Morton, C. V."	"Alain, Bro."		
246	2649844	1193748	Bahamas	1905-12-07/1905-12-17		655307	4195			Passiflora cupraea	Crooked Island and Long Cay					Long Cay			"Brace, L. J. K."			
247	2649854	1193749	Bahamas	3/15/1976		2941947	121			Passiflora cupraea		"No locality details.\nNote above Label: ""Bahamas?"""	"UNIVERSITY OF FLORIDA HERBARIUM\nCOLLECTIONS CATALOG - FLAS 145934\nSame team, same date, collector number 122."			Sunburn Blvd.			Mann	Dunn	Nelson	Nickerson
248	2649864	1193750	Bahamas	1903-01/1903-02		428545	43			Passiflora cupraea	New Providence					"West Indies, near Nassau"			"Curtiss, A. H."			
249	2649874	1193751	Bahamas	1903-01/1903-02		963261	43			Passiflora cupraea	New Providence					"West Indies, near Nassau"			"Curtiss, A. H."			
250	2649884	1193752	Bahamas	3/2/1966		2458828	26665			Passiflora cupraea	Central Andros					"Andros Island, 16-18 mi. south of Andros Town on Fish Camp Road."			"Dawson, E. Yale"			
251	2649894	1193753	Bahamas	3/14/1966		2458941	26856			Passiflora cupraea	Berry Islands District					"Chub Cay, Frazers Hog Cay\nhurricane swept land back of dock area"			"Dawson, E. Yale"			
252	2649904	1193754	Bahamas	2/27/1966		2458815	26517			Passiflora cupraea	North Andros					"Andros Island. Along and near beach, 0.5-1.5 miles South of Andros Town."			"Dawson, E. Yale"			
253	2649914	1193755	Bahamas	3/7/1966		2458607	26722			Passiflora cupraea	North Andros					"Andros Island, High Cay, S.E. of Andros Town."			"Dawson, E. Yale"			
254	2649924	1193756	Bahamas	3/2/1966		2458852	26672			Passiflora cupraea	North Andros					Andros Island 16-18 mi. South of Andros Town on Fish Camp road.			"Dawson, E. Yale"			
255	2649934	1193757	Bahamas	1910-01-20/1910-01-22		757987	8556			Passiflora cupraea	South Andros					"Coppice, near Deep Creek, Long Bay Cays Section, Andros"			"Small, J. K."	"Carter, J. J."		
256	2649944	1193758	Bahamas	1/4/1932		1556585	2562			Passiflora cupraea	Cat Island					Cat Island			"Fairchild, David"			
257	2649954	1193759	Bahamas	1948-05		1956050	9993			Passiflora cupraea	Bimini					North Bimini			"Howard, R. A."	"Howard, E. S."		
258	2649964	1193760	Puerto Rico	11/13/1930		3623201	31176			Passiflora foetida	Ponce					El Tuque			"Alain, H."	"Liogier, A. H."	"Martorell, L. F."	
259	2649974	1193761	Montserrat	6/13/1992		3623211	99			Passiflora foetida	Saint Anthony					"White River (small, sulphurous stream)"			"Berry, M. V."			
260	2649984	1193762	Jamaica	1906-09-02/1906-09-10		3618928	358			Passiflora lancifolia	Saint Andrew					Chestervale to Silver Hill Gap			"Britton, N. L."			
261	2649994	1193763	Jamaica	3/12/1920		1046392	1740			Passiflora mollissima		Introduced.\n? year.  No access to hi res. image.		1500 meters		Vicinity of Cinchona. Introduced.			"Maxon, William R."	"Killip, Ellsworth P."		
262	2650004	1193764	Aruba	1986-01-17/1986-01-21		3580501	20305			Passiflora moritziana						Area of Sewage Treatment Plant			"Howard, Richard A."			
263	2650074	1193771	Jamaica	3/22/1920		1046710	31			Passiflora oblongata	Saint Thomas					"Vicinity of Bath, St. Thomas"			"Boughton, F. S."			
264	2650084	1193772	Jamaica	3/6/1920		1046346	806			Passiflora oblongata	Portland			about 800 meters		"Valley of Trafalgar River, near Jumbe Spring"			"Maxon, William R."	"Killip, Ellsworth P."		
265	2650094	1193773	Jamaica	1926-06-06/1926-06-12		1182575	9055			Passiflora oblongata	Saint Thomas			500-700 m		Deep ravine in mountain forest above House Hill.			"Maxon, William R."			
266	2650104	1193774	Jamaica	6/3/1926		1182328	8772			Passiflora oblongata	Saint Andrew			500 m.		Hermitage Dam [Reservoir] and vicinity			"Maxon, William R."			
267	2650114	1193775	Jamaica	7/23/1926		1183752	10376			Passiflora oblongata	Saint Ann	\n		200-300 m.		Fern Gully			"Maxon, William R."			
268	2650124	1193776	Jamaica	6/3/1926		1182325	8769			Passiflora oblongata	St. Andrews			500 meters		"Steep rock- cut along road, Hermitage Dam [Reservoir] and vicinity"			"Maxon, William R."			
269	2650134	1193777	Jamaica	6/3/1926		1182326	8770			Passiflora oblongata	Saint Andrew			500 m.		Hermitage Dam [Reservoir] and vicinity			"Maxon, William R."			
270	2650144	1193778	Jamaica	3/6/1920		1046348	808			Passiflora oblongata	Portland			about 800 meters		"Valley of Trafalgar River, near Jumbe Spring."			"Maxon, William R."	"Killip, Ellsworth P."		
271	2650154	1193779	Jamaica	4/3/1920		1046566	1544			Passiflora oblongata	Saint James			750 m.		"Near Mocho, above Catadupa"			"Maxon, William R."	"Killip, Ellsworth P."		
272	2650164	1193780	Jamaica	5/1/1903		428006	1700			Passiflora oblongata	Saint Thomas			1000-2000 ft		Along the trail from Bath to Cuna Cuna Pass			"Maxon, William R."			
273	2650174	1193781	Jamaica	1920-02-25/1920-02-28		1046236	418			Passiflora oblongata			Unable to determine state/terr.	500-800 meters		Upper slopes of Mount Diablo			"Maxon, William R."	"Killip, Ellsworth, P."		
274	2650184	1193782	Jamaica	6/9/1904		520475	2508			Passiflora oblongata	Westmoreland			75-300 meters		"Hartford and adjoining properties, near Priestman's River"			"Maxon, William R."			
275	2650194	1193783	Jamaica	1926-06-06/1926-06-12		1182650	9132			Passiflora oblongata	Saint Thomas			500-700 meters		"Deep ravine in mountain forest above House Hill, St. Thomas"			"Maxon, William R."			
276	2650204	1193785	Jamaica	3/25/1966		2906521	1628			Passiflora oblongata	Saint Thomas			2500 feet		"Collected at Johnson Mt., Quarry trail"			"Read, R. W."			
277	2650214	1193786	Jamaica	4/5/1967		2906522	1864			Passiflora oblongata	Trelawny					Mango Tree Hill			"Reed, R. W."			
278	2650224	1193787	Jamaica	4/2/1966		2906485	1637			Passiflora oblongata	Trelawny					"Burnt Hill, left side of Spring Garden Rd."			"Read, R. W."			
279	2650234	1193788	Jamaica	1920-02-23/1920-02-29		1046184	343			Passiflora pallida	Saint Catherine			200-300 meters		"Vicinity of Ewarton, along roadside."			"Maxon, William R."	"Killip, Ellsworth P."		
280	2650244	1193789	Jamaica	1920-04-06/1920-04-07		1046591	1580a			Passiflora pallida		Pigeon Island is not within a Parish ( Jamaica state equivalent) but is within the Portland Bight Protected area. \n				"Pigeon Island, 10 miles off Old Harbour Bay"			"Maxon, William R."	"Killip, Ellsworth P."		
281	2650254	1193790	Jamaica	3/30/1920		1046514	1426a			Passiflora pallida	Saint James			sea level		"Near the mouth of Great River, west of Montego Bay."			"Maxon, William R."	"Killip, Ellsworth P."		
282	2650264	1193791	Haiti	3/5/1925		1148320	225			Passiflora pallida			Riviere Froide listed in a number of provinces (GeoNames).			Hills above Riviere Froide.			"Miller, Gerrit S."			
283	2650274	1193792	Haiti	11/20/1927		1413393	H9347			Passiflora pallida	Sud-Est	Sud-Est: is Province for Massif de la Selle	"Harvard collection verifies Ekman in Haiti in Nov. 1927. Herbarium No. 00005088, collector number H9322"			"Massif de la Selle, Port-au-Prince, Mariani, roadsides."			"Ekman, E. L."			
284	2650284	1193793	Haiti	4/12/1942		1784259	1128			Passiflora pallida	Ouest	Confirmed  Morne l'Hôpital		300 m.		"Morne l'Hôpital, Port au Prince"			"Holdridge, L. R."			
285	2650294	1193794	Jamaica	1920-03-28/1920-03-30		1046654	1657			Passiflora pallida	Saint James					Vicinity of Montego Bay			"Maxon, William R."	"Killip, Ellsworth P."		
286	2650304	1193795	Jamaica	12/7/1917		874717	12747			Passiflora pallida	Clarendon			300 ft.		"Inverness, Lower Clarendon"			"Harris, William"			
287	2650314	1193796	Cuba	1909-02		659101	380			Passiflora pallida	Camaguey					"Savanna north of La Gloria, Camaguey"			"Shafer, J. A."			
288	2650324	1193797	Cuba	12/5/1904		522169	552			Passiflora pallida	Ciudad de La Habana					Thickets near Havana			"Curtiss, A. H."			
289	2650334	1193798	Cuba	2/23/1955		2112968	44886			Passiflora pallida	Isla de la Juventud					Along road to San Francisco de las Piedras.			"Killip, E. P."			
290	2650344	1193799	Cuba	1931-12-17/1931-12-18		1478745	13941			Passiflora pallida	Matanzas					Varadero			"Killip, E. P."			
291	2650354	1193800	Cuba	10/12/1909		697271	2564			Passiflora pallida	Camaguey					"Cayo Paloma, Camaguey"			"Schafer, J. A."			
292	2650364	1193801	Cuba	10/12/1909		848782	2564			Passiflora pallida	Camaguey					Cayo Paloma			"Shafer, J. A."			
293	2650374	1193802	Haiti	1929-03-21/1929-03-29		1452528	13952			Passiflora pallida	Nord-Ouest					"Vicinity of Basse Terre, Tortue Island, beach east of harbor."			"Leonard, Emery C."	"Leonard, Genevieve M."		
294	2650384	1193803	Haiti	12/25/1928		1450172	11181			Passiflora pallida	Nord Oeste					"Vicinity of Port de Paix, beach thicket east of city."			"Leonard, Emery C."	"Leonard, Genevieve M."		
295	2650394	1193804	Haiti	1/13/1929		1450766	11901			Passiflora pallida	Nord-Ouest					"Down on shore West of Cabaret. Vicinity of Cabaret, Baie des Moustiques."			"Leonard, Emery C."	"Leonard, Genevieve M."		
296	2650404	1193805	Haiti	11/17/1925		1301844	7140			Passiflora pallida	Artibonite	"I had a very difficult time reading the year in the collection date. However a couple sources seem to point towards 1925 being the year. The Washington Biologists' Field Club biography for Leonard indicate he was in Haiti in 1920, 1925-26, 1928-1929. The"				Vicinity of St. Michel de l'Atalaye			"Leonard, E.C."			
297	2650414	1193806	Anguilla	12/31/1958		2833476	18538			Passiflora pallida			No province listed for The Valley (GeoNames).			"Bottom district, north of The Valley, in rocky scrubland."			"Proctor, George R."			
298	2650424	1193807	Jamaica	1920-03-28/1920-03-30		1046652	1655a			Passiflora pallida	Saint James					Vicinity of Montego Bay.			"Maxon, William R."	"Killip, Ellsworth P."		
299	2650434	1193808	Bermuda	1909-05-22/1909-06-02		1341070	718			Passiflora pallida	Smith's					Spittle [Spittal] Pond.			"Brown, Stewardson"			
300	2650444	1193809	Turks and Caicos Islands	1905-08-27/1905-09-01		849075	3779			Passiflora pallida						"Turk Islands, Grand Turk"			"Nash, George V."	"Taylor, Norman"		
301	2650454	1193810	Cayman Islands	6/17/1974		2886048	7026			Passiflora pallida						"Grand Cayman: West Bay, north of Beach Club"			"Stoddart, D. R."			
302	2650464	1193811	Bahamas	2/20/1976		2797413	46856			Passiflora pallida	San Salvador					Growing on plants on east edge of Cockburn Town.			"Correll, D. S."	"Wasshausen, D. C."		
303	2650474	1193812	Haiti	1920-03-15/1920-03-21		1075609	3314			Passiflora pallida	Ouest					"Vicinity of Etroite, Gonave Island"			"Leonard, E. C."			
304	2650484	1193813	Cuba	1902-01-24/1902-01-29		403072	79			Passiflora pallida	Guantánamo		Baracoa is not listed in Santiago by GeoNames.			Vicinity of Baracoa.  Santiago Province.			"Pollard, Charles L."	"Palmer, Edward"	"Palmer, William"	
305	2650494	1193814	Virgin Islands	1/28/1991		3194659	4075			Passiflora pallida	Saint John			80 m.		"U.S. Virgin Islands: East End Quarter; Center Line Road (Road 10), km 10.8\nAlong roadside, scrubland."			"Rodriguez, P. Acevedo"	"Siaca, A."		
306	2650504	1193815	Jamaica	3/31/1920		1046691	1701			Passiflora pallida	Manchester					Along railroad track. Near Greenvale.			"Maxon, William R."	"Killip, Ellsworth P."		
